name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Learnin' The Blues,Sinatra/Basie: The Complete Reprise Studio Recordings,Frank Sinatra,1962-12-10,263040,32,0.715,0.539,0.258,0.0,0.109,-11.748,0.035,115.824,0.54,4,0,0,spotify:track:3ciUOEBAhYr8M3DjI3jFcC,1962,2017,alpha,C130
En Annan Typ Av Disco,Wermland,Detektivbyrån,2008-09-03,180293,0,0.12,0.672,0.753,0.032,0.0539,-3.856,0.0289,114.937,0.793,3,7,1,spotify:track:6q5VReO6IuhsgBfK4xX1Gm,2008,2017,alpha,C139
Les métamorphoses du vide,613,Chapelier Fou,2010-03-15,161400,0,0.548,0.493,0.473,0.885,0.118,-11.607,0.0316,134.94,0.206,4,10,1,spotify:track:6ruMklGZEAVBjxe4AbD4pM,2010,2017,alpha,C141
Pangea,"The Scientific Method, Vol 2",Professor Kliq,2011-09-21,268460,32,0.262,0.71,0.619,0.788,0.126,-10.569,0.049,99.998,0.513,4,0,0,spotify:track:7ruZd6UOXI454THNLcPVcI,2011,2017,alpha,C145
Petite Fleur,Wake Up In Paris,The Hot Sardines,2014-10-20,205746,25,0.821,0.581,0.241,0.0331,0.104,-13.924,0.0417,117.085,0.259,4,7,1,spotify:track:6HCnB73vqQuYR5I8bP8AfP,2014,2017,alpha,C159
La fille garette,Au clair de la muse,Les 100 Fausses Notes,2014-11-18,309080,0,0.221,0.508,0.544,0.000112,0.125,-6.461,0.0334,115.004,0.574,4,7,1,spotify:track:2HRyMQeoklexXAqH3BsTl2,2014,2017,alpha,C189
24,Honeymoon,Lana Del Rey,2015-09-18,295960,61,0.782,0.284,0.372,0.000183,0.103,-9.821,0.0356,98.181,0.0853,4,8,0,spotify:track:302ZEWd1TDXvA4PLz0UQhj,2015,2017,alpha,C222
Riptide,Dream Your Life Away (Special Edition),Vance Joy,2014-09-09,204280,83,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51,4,1,1,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,2014,2017,alpha,C257
Marble Machine,Marble Machine,Wintergatan,2016-03-06,243782,0,0.116,0.706,0.808,0.667,0.235,-9.199,0.123,146.947,0.673,4,4,0,spotify:track:441W8jUIbbZQboSzQKee6G,2016,2017,alpha,C258
Let's Call The Whole Thing Off,Ella And Louis Again,Ella Fitzgerald,1957,255605,0,0.821,0.646,0.311,0.0,0.0918,-13.41,0.201,123.414,0.584,4,0,0,spotify:track:5ilfSJucsKp1uYsNw6N2ix,1957,2017,alpha,C264
Sommarfågel - Bassnectar Remix,Into the Sun,Bassnectar,2015-06-30,136666,0,0.00396,0.327,0.844,0.758,0.151,-5.269,0.0384,180.053,0.0365,3,0,0,spotify:track:33m0aVQvsfvanuwG6rByrd,2015,2017,alpha,C289
My Oh My,Popular Problems,Leonard Cohen,2014-09-16,216813,51,0.382,0.739,0.311,0.43,0.141,-12.549,0.0318,130.077,0.175,4,7,1,spotify:track:19y5sbhPCWJAOGcgKmKyCA,2014,2017,alpha,C403
Salam Aleykoum,Sur le thème des grandes découvertes,Salut C'est Cool,2015-06-22,364160,10,0.00776,0.69,0.963,0.527,0.0437,-6.341,0.0343,138.001,0.154,4,0,1,spotify:track:6EyOapXYdXr1k1vnMfRWes,2015,2017,alpha,C425
Hands Off That Man,Sardine 3: Frolicking At the Playground,The Hot Sardines,2013-12-06,180951,15,0.354,0.723,0.517,0.578,0.115,-7.339,0.0547,114.716,0.469,4,11,1,spotify:track:7btKMdEmPIbaqadpyyBhia,2013,2017,alpha,C457
