name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
"In Nomine a 6, Z. 746",Purcell: Complete Music for Strings,Henry Purcell,2013-04-08,122453,1,0.903,0.139,0.127,0.533,0.0645,-16.12,0.0369,71.163,0.0466,4,9,1,spotify:track:2AkHJVWjbxtUPXwokFjwie,2013,2020,beta,C12
"Études d'exécution transcendante, S.139 : IV. Mazeppa, en ré mineur",Liszt : 12 Etudes D'Exécution Transcendante,Franz Liszt,2006-10-02,471266,0,0.985,0.284,0.328,0.879,0.129,-18.092,0.0426,72.19,0.0415,3,9,1,spotify:track:39YBnpRApBLCtpNfGP2mHH,2006,2020,beta,C69
"Suite en La Mineur, TWV 55:A2: II. Les Plaisirs",Telemann : Concertos & suite pour flûte et cordes,Georg Philipp Telemann,2017,121213,0,0.878,0.452,0.149,0.0889,0.12,-25.152,0.0465,136.211,0.775,4,8,0,spotify:track:5B365rRYOdzRumgo88ww0D,2017,2020,beta,C132
"Ravel: Sonatine, M. 40: I. Modéré",Ravel: Complete Works for Solo Piano,Maurice Ravel,2016-01-15,246213,26,0.995,0.351,0.0591,0.918,0.0866,-25.292,0.0402,67.109,0.083,3,6,0,spotify:track:7hCMOTIdI3BXMydy5OOpPq,2016,2020,beta,C223
"String Sextet No. 1 in B-Flat Major, Op. 18: Andante ma moderato",Brahms (The Best Of),Johannes Brahms,1997-05-05,581000,0,0.96,0.164,0.148,0.828,0.115,-17.401,0.0361,88.578,0.103,4,0,1,spotify:track:7cHSEJbyjtwUJmNN3ANKaB,1997,2020,beta,C295
Lux aeterna: Lux aeterna,Ligeti: Lux aeterna / Heppener: Im Gestein,Susanne Van Els,2007,590000,20,0.992,0.154,0.0178,0.973,0.069,-32.168,0.0389,58.872,0.022,4,0,1,spotify:track:4WpkwjIvLMMvBi8XA5echL,2007,2020,beta,C385
Ish and the Ice,2307: Winter's Dream (Original Soundtrack Recording),Joachim Horsley,2017-10-05,71750,4,0.959,0.178,0.00199,0.907,0.0828,-33.13,0.0383,64.52,0.0799,4,11,0,spotify:track:4SK0tMBS3q9YNa5qXs16Kg,2017,2020,beta,C448
"Hor che'l ciel e la terra, SV 147: Or che'l ciel e la terra","Monteverdi: Madrigals, Book 8",Claudio Monteverdi,2017-05-12,368733,4,0.968,0.148,0.0488,0.00805,0.113,-16.699,0.0402,79.725,0.0334,4,6,0,spotify:track:0G1IQjL5K3Srj6cQhsIXcU,2017,2020,beta,C461
French African Queen,Take Me To The Alley,Gregory Porter,2016-05-06,225293,25,0.478,0.626,0.904,0.000154,0.0589,-4.888,0.306,117.812,0.672,4,8,0,spotify:track:3A4NRocugk2CBmIkxCAg45,2016,2020,beta,C504
Opening Day,Blue Maqams,Anouar Brahem,2017-10-13,421480,38,0.849,0.453,0.149,0.932,0.261,-23.521,0.0528,114.804,0.304,1,7,0,spotify:track:7FI4GNCpplLLHihNZPOwKW,2017,2020,beta,C640
