name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
"Variations on a Polish Theme, Op. 10: No. 5 Andantino","Szymanowski: Piano Works, Vol. 2",Karol Szymanowski,06/12/1996,76933,53,0.996,0.329,0.00695,0.866,0.0906,-34.227,0.0448,70.295,0.238,4,11,0,spotify:track:3bcdLMrAxrfn5dxInjIdI2,1996,2021,delta,C1
Réplique,L'art de la défaite,Batlik,2019-09-13,278555,7,0.213,0.797,0.351,0.143,0.0901,-11.535,0.0903,98.018,0.489,4,2,0,spotify:track:4k3JXMOKG8JYDTKIpVbjU6,2019,2021,delta,C11
NYC,Lundi Méchant,Gaël Faye,2020-11-06,125266,39,0.124,0.51,0.705,0.00308,0.367,-8.338,0.196,91.23,0.194,4,7,1,spotify:track:2pjWdHqyxm0sZ2ZMym5gsd,2020,2021,delta,C92
Trop beau,Jeannine,Lomepal,2018-12-07,244586,69,0.295,0.748,0.66,5.56e-06,0.0883,-6.034,0.0404,123.902,0.324,4,4,0,spotify:track:4WB9OeauHXnGOMUK4s80gM,2018,2021,delta,C153
Ulysses and the Sea,Papooz,Papooz,2015-01-19,120165,65,0.913,0.882,0.161,0.0,0.128,-9.385,0.0458,106.105,0.698,4,8,0,spotify:track:1YmPS3jF3RMCTajDYgTD2q,2015,2021,delta,C217
Slughorn's Confession,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),Nicholas Hooper,2009-07-14,213053,45,0.651,0.0838,0.0842,0.769,0.0857,-24.922,0.0484,170.037,0.0354,4,0,1,spotify:track:4hFUBd3gQjbvhBFgyAetM2,2009,2021,delta,C259
Potter Waltz,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,138840,54,0.879,0.138,0.207,0.915,0.121,-17.358,0.0408,176.246,0.434,3,2,1,spotify:track:2UVPNfmTx2C27Py3z5r9RC,2005,2021,delta,C291
The Weasley Stomp,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),Nicholas Hooper,2009-07-14,169013,44,0.703,0.53,0.304,0.922,0.0811,-17.856,0.0293,110.149,0.554,4,0,1,spotify:track:2VTp8mChLRvQcTW5B0nrr5,2009,2021,delta,C364
Coup de tête,Aller-retour,Bon Entendeur,2019-12-13,233480,49,0.087,0.608,0.664,0.427,0.0474,-8.786,0.0357,107.001,0.123,4,5,1,spotify:track:70BytYu52Hnt0w8GfcOR7b,2019,2021,delta,C375
Fireworks,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,105880,54,0.28,0.492,0.501,0.893,0.121,-13.694,0.0489,99.964,0.0726,4,2,1,spotify:track:2lRDMjTOqv4a9mrIrgZYmX,2007,2021,delta,C384
Lumos! (Hedwig's Theme),Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,98373,54,0.975,0.225,0.0417,0.396,0.0718,-30.105,0.0435,133.89,0.0889,4,4,0,spotify:track:2G5hAbyjLoY1wSQFbOy5PN,2004,2021,delta,C389
Aunt Marge's Waltz,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,135360,48,0.9,0.504,0.197,0.913,0.324,-21.207,0.0436,155.864,0.486,3,7,1,spotify:track:3v4O5D704CYOEbjKMwaqMc,2004,2021,delta,C411
Lily's Theme,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",Alexandre Desplat,2011-07-04,148813,0,0.873,0.126,0.0386,0.975,0.0759,-28.821,0.0501,73.378,0.0274,3,6,1,spotify:track:4rOZRpsGz3eZxTYabaRLtn,2011,2021,delta,C468
Dinosaures,Des fleurs,Gaël Faye,2018-11-02,260693,34,0.509,0.503,0.814,2.58e-06,0.255,-6.043,0.14,159.991,0.206,4,4,0,spotify:track:7pdah59ZQxg0YsNI9h2e07,2018,2021,delta,C479
