name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Going Up,Going Up,flutta,2020-03-13,178666,35,0.0297,0.353,0.699,0.0,0.085,-6.506,0.095,89.012,0.0788,4,7,0,spotify:track:2SMsGYeBhsHpztHAIh0K1L,2020,2021,epsilon,C87
Beyond the Horizon,A Plague Tale: Innocence (Original Soundtrack),Olivier Deriviere,2019-05-13,228573,36,0.0207,0.145,0.228,0.907,0.107,-16.9,0.0343,60.753,0.0715,4,9,0,spotify:track:62mIzstc5zIvwxmvTwZdKh,2019,2021,epsilon,C166
Beam Me Up - Radio Edit,Eject,CAZZETTE,2014-01-01,203800,51,0.00876,0.568,0.867,2.87e-06,0.0779,-3.21,0.0458,125.98,0.357,4,0,1,spotify:track:64y85LeHY8Z6OlTOM9cpKD,2014,2021,epsilon,C203
Born Survivor,"Special Selection, Vol.1 (2006-2019)",Shirobon,2019-10-17,302950,0,0.0116,0.738,0.682,0.0462,0.101,-6.379,0.0554,122.048,0.342,4,7,0,spotify:track:7bKWtdGt5GIw5Mu9cpO3oe,2019,2021,epsilon,C243
Kostki Pad Imchom,Rujnuj,Dzivia,2018-12-13,381333,23,0.726,0.149,0.525,0.952,0.131,-11.032,0.0399,79.241,0.0392,1,7,1,spotify:track:3BsVEm6XAFm9Lu6zbSM3ui,2018,2021,epsilon,C281
Final Reckoning,Final Reckoning,Q-Factory by Robert Etoll,2012,101105,53,0.137,0.601,0.586,0.924,0.0931,-8.197,0.0281,92.999,0.141,4,2,1,spotify:track:0RTG9fbE9HY6kOZjzpaFAP,2012,2021,epsilon,C303
S.T.A.Y.,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Hans Zimmer,2014-11-18,383513,66,0.933,0.0793,0.0301,0.929,0.0741,-30.777,0.0425,191.413,0.0256,3,5,1,spotify:track:6GUq9y0Iy5QrAuPYxTrFp2,2014,2021,epsilon,C344
Optimistic Nihilism,"Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack)",Epic Mountain,2017-12-24,372000,48,0.597,0.544,0.429,0.836,0.355,-16.308,0.0338,120.063,0.0577,4,2,0,spotify:track:3PmEzB2ORXmXBx07JY9z66,2017,2021,epsilon,C348
Downfall,After Dark (Deluxe Edition),Essenger,2020-04-29,304153,38,0.0144,0.498,0.712,0.000897,0.0689,-8.03,0.0388,176.001,0.238,4,3,0,spotify:track:5mAitcAt2Z23HIIINIcY0h,2020,2021,epsilon,C415
Peur des filles,Tako Tsubo,L'Impératrice,2021-03-26,208805,55,0.0796,0.915,0.408,0.158,0.218,-10.705,0.0868,102.02,0.6,4,1,0,spotify:track:00mO8JKk2wQ7VqdPcY1r4O,2021,2021,epsilon,C437
Perfect Machine,Distant Reality,Shirobon,2014-02-04,253090,0,0.0315,0.719,0.77,0.357,0.107,-6.237,0.0375,109.957,0.346,4,10,0,spotify:track:46gYfI9XnyzgaNnYlkUwCJ,2014,2021,epsilon,C459
