name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Unemployed,Unemployed,Stand High Patrol,2013-04-26,252443,0,0.00566,0.881,0.418,0.0308,0.0596,-8.665,0.0467,140.031,0.93,4,11,0,spotify:track:2qJi9xPeBrj0rpLFqc5Z01,2013,2016,gamma,C33
La main verte - Live,Mamagubida,Tryo,1998,133293,0,0.851,0.715,0.621,0.0,0.748,-8.038,0.265,99.624,0.701,4,4,1,spotify:track:6lD19XZMZYGITJ8k0uB0Fo,1998,2016,gamma,C80
She Wanti,Know Yourself,Naâman,2015-01-26,204173,0,0.183,0.793,0.675,0.0,0.0814,-5.894,0.0885,80.0,0.914,4,0,1,spotify:track:1o0zm9PpoMGcrfS4P3DfVs,2015,2016,gamma,C107
So So So,So So So - EP,Rone,2011-05-09,428173,31,0.248,0.553,0.684,0.803,0.103,-12.931,0.0387,130.013,0.475,4,10,0,spotify:track:2MRUwbVjnnzVtjfQbg5907,2011,2016,gamma,C123
It's Just (House of Dupree),Music for the Uninvited,Leon Vynehall,2014-03-24,525466,0,0.0212,0.77,0.711,0.0052,0.133,-9.19,0.308,121.444,0.394,4,1,1,spotify:track:6L6BWLhdE9DgpAltnwMqTt,2014,2016,gamma,C136
Hundred Miles,Hundred Miles,Yall,2015-10-16,172413,1,0.025,0.479,0.714,0.0153,0.206,-3.776,0.109,98.23,0.49,4,7,0,spotify:track:5dyDkXi1bnQKSyIdO0JXp8,2015,2016,gamma,C191
Take a Walk,Free as a Bird,Soom T,2015-11-13,176495,16,0.106,0.75,0.796,0.00233,0.17,-5.117,0.0708,91.998,0.404,4,8,1,spotify:track:757A9EUN9ETE59dQbR6Nzg,2015,2016,gamma,C221
Demon Dance,The Demon Diaries,Parov Stelar,2015-05-01,209965,34,0.22,0.971,0.832,0.0129,0.341,-6.238,0.363,120.009,0.786,4,9,1,spotify:track:2OWzYwHG22N4YoGvgcmNLD,2015,2016,gamma,C327
Wildcat,Classics,Ratatat,2006-08-22,260173,0,0.0479,0.703,0.718,0.432,0.0415,-7.522,0.0669,115.993,0.785,4,1,1,spotify:track:4EBisBBehGON4ESJsNZBsP,2006,2016,gamma,C353
Contrastes et couleurs,Kingston Town,Broussaï,2012-10-08,263426,0,0.105,0.716,0.621,0.0,0.0856,-6.647,0.193,78.252,0.866,4,7,0,spotify:track:2b9wGrSPc2NXKQ3jaC6you,2012,2016,gamma,C363
