name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
"Variations on a Polish Theme, Op. 10: No. 5 Andantino","Szymanowski: Piano Works, Vol. 2",Karol Szymanowski,06/12/1996,76933,53,0.996,0.329,0.00695,0.866,0.0906,-34.227,0.0448,70.295,0.238,4,11,0,spotify:track:3bcdLMrAxrfn5dxInjIdI2,1996,2021,delta,C1
Je vous trouve un charme fou - En duo avec Gaëtan Roussel,Il suffit d'y croire (Version deluxe),Hoshi,2018-11-30,172626,62,0.622,0.615,0.599,7.77e-06,0.192,-8.715,0.253,86.976,0.626,4,1,1,spotify:track:0C2yaSWVgCUiiqPyYxSOkd,2018,2022,delta,C2
Me Gusta,On ira où ?,DTF,2019-10-11,175269,72,0.413,0.834,0.734,4.01e-05,0.113,-5.948,0.341,89.989,0.356,4,6,0,spotify:track:6P3FBaZfUjeWYExU2ShaPZ,2019,2020,gamma,C3
L’amour en Solitaire,Petite Amie (Deluxe),Juliette Armanet,2018-02-02,175266,0,0.404,0.797,0.506,0.000153,0.255,-6.774,0.0327,128.027,0.539,4,5,0,spotify:track:2tn51grfchxArwPXeXkoX5,2018,2018,gamma,C4
Goodnight Moon,Volta,Boogie Belgique,2016-09-23,264735,53,0.0616,0.788,0.675,0.711,0.1,-8.591,0.0318,107.993,0.525,4,7,0,spotify:track:2rvo9Ddv18aRV0OJldhWTf,2016,2020,alpha,C5
Soothing,Semper Femina,Laura Marling,2017-03-10,256906,0,0.419,0.677,0.298,0.0802,0.108,-11.676,0.0501,143.219,0.552,4,2,0,spotify:track:2KKBONcn6UBAH3paFgPkfZ,2017,2018,delta,C6
Сон,Выход,Убийцы Crystal,2020-12-18,137619,12,0.000259,0.677,0.868,0.284,0.515,-7.843,0.0387,120.001,0.143,4,1,1,spotify:track:2jYYz2Bjb64jcTyIKD4OOK,2020,2021,zeta,C7
No Strings Attached,No Strings Attached,Swingrowers,2018-02-09,246973,18,0.298,0.825,0.74,5.21e-06,0.309,-7.354,0.0327,128.018,0.935,4,10,1,spotify:track:39M5ZT6RCX4EM6tspj3hEJ,2018,2020,alpha,C8
Elévation,Elévation,Vladimir Cauchemar,2019-06-14,155727,51,0.078,0.689,0.929,0.0,0.32,-4.76,0.277,123.011,0.57,4,7,1,spotify:track:2U2N1Jky3VTWJkb5lRam16,2019,2019,gamma,C9
Leap of Faith,Ascendance,Mark John Petrie,2018-08-17,204776,0,0.138,0.169,0.497,0.884,0.115,-12.958,0.0636,113.893,0.0679,3,2,1,spotify:track:3nKkXQo5ZybamTlNCDkPgE,2018,2019,alpha,C10
