name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Night Club 1960,Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,349466,20,0.968,0.3,0.295,0.896,0.0978,-15.266,0.0337,69.087,0.231,4,4,0,spotify:track:7hct2qPCh6es11ImDr24ys,2005,2021,beta
If You Lie Down With Me,Blue Banisters,Lana Del Rey,2021-10-22,265186,67,0.913,0.641,0.346,3.99e-05,0.104,-9.508,0.036,122.101,0.187,4,0,1,spotify:track:1RPsOAaHaRu8JlVdeaciuL,2021,2021,beta
"Prelude, Choral et Fugue: I. Prelude",Franck: Piano Works,César Franck,2006,268662,2,0.994,0.334,0.0477,0.896,0.0888,-23.557,0.0419,105.714,0.0396,3,6,1,spotify:track:5ek5bmJifmv4XruTkszeee,2006,2021,beta
Bora Bora,PLANET GOLD,Sofiane Pamart,2021-01-08,129613,48,0.987,0.544,0.0569,0.94,0.112,-20.459,0.0784,63.96,0.168,3,0,1,spotify:track:13qeAogPyl9Tn5HAHsuOlK,2021,2021,beta
By the Sun,Out,Kimberose,2021-01-29,201148,48,0.969,0.537,0.155,0.000388,0.108,-13.861,0.0452,80.626,0.553,4,6,0,spotify:track:2pqqbCr11F3XA2OTIwq0IJ,2021,2021,beta
This City,This City,Sam Fischer,2019-12-11,194853,78,0.733,0.605,0.377,0.0,0.0808,-6.213,0.0443,73.877,0.519,4,11,1,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,2019,2021,beta
River (feat. Parson James),River (feat. Parson James),The Knocks,2021-10-22,210448,30,0.00937,0.679,0.784,0.0013,0.0912,-5.514,0.0564,113.991,0.17,4,10,1,spotify:track:6OOkLUhFFnaj6l9LcPHzHN,2021,2021,beta
Polarize,Blurryface,Twenty One Pilots,2015-05-15,226786,64,0.122,0.597,0.666,0.00302,0.1,-6.365,0.0418,164.992,0.626,4,6,0,spotify:track:6GmkJJMe9U1tEcrJ3Hq3A1,2015,2021,beta
Saturday,Scaled And Icy,Twenty One Pilots,2021-05-21,172232,66,0.00396,0.687,0.89,0.000939,0.0436,-5.99,0.0344,113.06,0.854,4,8,1,spotify:track:60dwJ8dnqZ4WrIdiu7LkNR,2021,2021,beta
Je te laisserai des mots,Je te laisserai des mots,Patrick Watson,2010-09-10,160853,86,0.989,0.303,0.187,0.489,0.101,-16.757,0.0356,132.731,0.213,4,2,1,spotify:track:0V5cvmTKsYmF5FmGGEAfmS,2010,2021,beta
