name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Le Caire,PLANET GOLD,Sofiane Pamart,2021-01-08,206880,50,0.969,0.223,0.13,0.917,0.109,-23.76,0.0606,74.787,0.139,4,7,0,spotify:track:5bbWnHNX55JJYgMhFwIQm7,2021,2022,delta
La Havane,PLANET GOLD,Sofiane Pamart,2021-01-08,185666,49,0.977,0.301,0.25,0.861,0.0901,-16.262,0.0358,91.069,0.157,3,10,0,spotify:track:2V8XnMnzngZDZLHCBaLj9P,2021,2022,delta
Cold Little Heart,Love & Hate,Michael Kiwanuka,2016-07-15,597600,66,0.487,0.489,0.404,0.0485,0.14,-7.815,0.0261,108.01,0.153,4,8,1,spotify:track:0qprlw0jfsW4H9cG0FFE0Z,2016,2022,delta
Toujours (feat. Tim Dup & Lass),Global Musique vol.1,Synapson,2020-11-27,201230,48,0.475,0.782,0.618,6.96e-05,0.117,-9.434,0.068,130.009,0.502,4,3,1,spotify:track:2PFqkHzF7R1cBttOp0jUXg,2020,2022,delta
Belesia,Belesia,Ignacio Maria Gomez,2020-11-13,267986,48,0.975,0.659,0.197,0.0681,0.104,-14.554,0.0473,166.988,0.259,3,1,0,spotify:track:1PbTp9alugkShdL8dMupUQ,2020,2022,delta
2K16 - Afterlife,Afterlife,Refuge,2021-02-26,204704,32,0.944,0.486,0.139,9.32e-05,0.11,-12.97,0.0358,72.86,0.17,4,4,0,spotify:track:44cpwYSfTXOf8qpT55UghO,2021,2022,delta
C’est que du bonheur,Multitude,Stromae,2022-03-03,162226,55,0.317,0.867,0.616,8.35e-05,0.106,-7.964,0.172,98.037,0.638,4,7,1,spotify:track:3QTsEZZ2qeahVOtliAvTHw,2022,2022,delta
Presque Rien,Céleste,Hippocampe Fou,2015-09-25,223954,45,0.179,0.823,0.628,0.00219,0.0856,-8.53,0.0698,130.013,0.433,4,1,0,spotify:track:1om616X5tor0L7UR78zapJ,2015,2022,delta
Petite italie,Monument ordinaire,Mansfield.TYA,2021-02-19,137306,43,0.966,0.809,0.085,0.000469,0.0848,-15.472,0.0521,94.985,0.533,4,6,0,spotify:track:16ecd9wx7WRxxYRtmLTKDm,2021,2022,delta
Je vous trouve un charme fou - En duo avec Gaëtan Roussel,Il suffit d'y croire (Version deluxe),Hoshi,2018-11-30,172626,62,0.622,0.615,0.599,7.77e-06,0.192,-8.715,0.253,86.976,0.626,4,1,1,spotify:track:0C2yaSWVgCUiiqPyYxSOkd,2018,2022,delta
Breath of Roma,Meryem,Meryem Aboulouafa,2020-05-29,205840,52,0.934,0.716,0.334,0.019,0.107,-11.026,0.029,98.022,0.158,4,11,1,spotify:track:6jw2gaUjhFqiY3imoKe5b1,2020,2022,delta
Paysage,L'étoile,MPL,2020-01-31,216120,51,0.154,0.677,0.663,1.24e-06,0.208,-10.756,0.0547,117.974,0.748,4,7,1,spotify:track:7ytlU6FmzTISrT7JeGxFSg,2020,2022,delta
SOLITUDE,SOLITUDE,Sofiane Pamart,2021-09-03,199167,30,0.973,0.346,0.197,0.91,0.079,-16.441,0.0458,101.449,0.081,4,0,0,spotify:track:78998dz3rcDvi8yT93ekkV,2021,2022,delta
Prologue,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,130293,66,0.957,0.177,0.0188,0.446,0.635,-29.484,0.0367,146.472,0.0819,3,2,0,spotify:track:6CeCOC2zx1qS8mQNYHe6IM,2001,2022,delta
Walk,Free,Guillaume Perret,2016-09-23,180328,25,0.312,0.497,0.531,0.921,0.14,-8.446,0.0387,95.973,0.319,4,5,1,spotify:track:5js0k3dz7KFlOm5lfwLcO4,2016,2022,delta
Butare,Mauve Jacaranda,Gaël Faye,2022-07-01,258640,36,0.787,0.439,0.215,3.71e-05,0.182,-15.983,0.152,149.068,0.522,4,8,1,spotify:track:79KGGIlt8A6ZsOjmdM0LsX,2022,2022,delta
Tailler la route,Éphémère,Grand Corps Malade,2022-09-16,225240,56,0.471,0.736,0.583,7.83e-06,0.132,-6.682,0.321,89.999,0.652,4,9,0,spotify:track:3G6gPn5Ux19JYSXkrK34A3,2022,2022,delta
Carthage,PLANET GOLD,Sofiane Pamart,2021-01-08,162226,49,0.994,0.26,0.0757,0.936,0.0724,-22.745,0.0409,172.237,0.113,4,6,0,spotify:track:6zZ4CRh4SZuHax1uHCH0jt,2021,2022,delta
Alba (feat. Sofiane Pamart),Minuit,Bon Entendeur,2021-06-25,227573,61,0.554,0.523,0.678,0.903,0.11,-10.16,0.0324,93.99,0.0896,4,2,0,spotify:track:5K9Kc9Uv5lpntEIZK8G54F,2021,2022,delta
Chrysalis,A Girl Is a Gun (Music from the Original Series),Sébastien Tellier,2017-10-13,168146,32,0.296,0.328,0.312,0.0751,0.121,-12.553,0.0334,83.6,0.241,4,6,0,spotify:track:5cTmYVfKRx37YGkg3C9Dpo,2017,2022,delta
Saving the World Is Easy,With Love,Yom,2010,234880,36,0.781,0.486,0.371,0.887,0.107,-8.294,0.0338,117.968,0.157,4,5,0,spotify:track:766ZibhmKrN4OwCWj9jCnM,2010,2022,delta
