name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
"Awake - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,136996,32,0.991,0.435,0.0275,0.955,0.082,-32.372,0.0382,120.002,0.0524,4,1,0,spotify:track:2BE9wLg2nyJahAecN1a6La,2022,2022,epsilon
Burning Cold,Arcadia,Eurielle,2015-12-05,334733,27,0.0352,0.339,0.398,0.151,0.112,-11.074,0.032,80.071,0.118,4,8,1,spotify:track:4zQ6O2vfWGovigzbSXmF8B,2015,2022,epsilon
Lair of the Dragon,Lair of the Dragon,Wolf and Raven,2018-09-15,403204,30,0.00097,0.245,0.922,0.948,0.153,-6.269,0.0545,125.075,0.183,4,10,0,spotify:track:2k8vy6MoYbHdoWobIGyRFP,2018,2022,epsilon
Sermon of Purification,Distant Millennia Vol. I,Joshua Lamberti,2022-07-14,264124,15,0.522,0.202,0.13,0.869,0.112,-18.173,0.0361,63.036,0.035,4,2,0,spotify:track:2KNVwMsIwseC9BdqDUINnf,2022,2022,epsilon
Alleyways,Alleyways,J+1,2020-07-17,126375,49,0.797,0.587,0.532,0.104,0.113,-10.309,0.0291,159.987,0.0658,4,10,0,spotify:track:1HC3nSraaRQ82RJP4TjYTX,2020,2022,epsilon
Millennial Rage,"Warhammer 40,000: Mechanicus (Original Soundtrack)",Guillaume David,2020-02-19,401965,40,0.0866,0.546,0.474,0.859,0.132,-14.983,0.0378,145.003,0.0586,4,2,1,spotify:track:71G13ZzmLIcq5AcMs05nhO,2020,2022,epsilon
"In The Water - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,114425,32,0.988,0.182,0.019,0.971,0.0907,-30.589,0.0435,95.285,0.0334,4,4,1,spotify:track:7ajRLygLieUKb5qsumndfc,2022,2022,epsilon
Stranger,Stranger,Olivia Addams,2021-04-16,166875,55,0.0705,0.581,0.749,0.0,0.292,-4.625,0.173,127.743,0.291,4,2,0,spotify:track:7keesrr5gzF7Ol17M1vJZY,2021,2022,epsilon
Drought,Drought,Mod3no,2020-07-31,205542,31,0.267,0.504,0.576,0.00124,0.0703,-9.771,0.0455,175.005,0.106,4,9,0,spotify:track:1N4wQrbgF4zxYQMOhZG2rC,2020,2022,epsilon
Hel (bonus track),The North Album,Power-Haus,2020-07-03,146000,36,0.771,0.262,0.439,0.82,0.0568,-11.553,0.0788,180.456,0.0343,3,10,1,spotify:track:6KZuh2C4mRcby9kVF8r7U3,2020,2022,epsilon
"Revelations - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,263163,24,0.94,0.137,0.102,0.97,0.0789,-27.359,0.0484,99.761,0.034,4,6,0,spotify:track:2JnU0QAqxb0Dc0BdAXNHgU,2022,2022,epsilon
Warrior Princess,A World Of Color,Dos Brains,2018-12-21,270152,35,0.0967,0.359,0.59,0.256,0.0741,-11.06,0.0361,140.086,0.0472,4,2,0,spotify:track:533CKDc4NidKvpEjJ7C2Bb,2018,2022,epsilon
The Motto,The Motto,Tiësto,2021-11-04,164818,81,0.0301,0.754,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953,0.464,4,7,0,spotify:track:18asYwWugKjjsihZ0YvRxO,2021,2022,epsilon
"The Letter - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,154013,24,0.968,0.26,0.00157,0.959,0.104,-38.922,0.0426,33.719,0.0565,3,6,0,spotify:track:1tea7w1TiNPTCuGLcfeWzQ,2022,2022,epsilon
Circadian,Quietude,S N U G,2021-08-06,137600,48,0.922,0.575,0.196,0.943,0.092,-16.233,0.0348,75.035,0.153,4,4,1,spotify:track:4xde8X3rQNK1opo5eCRRww,2021,2022,epsilon
Mindflayer,Mindflayer,Becko,2018-10-19,176727,31,0.00105,0.55,0.906,0.0247,0.132,-5.183,0.0541,110.0,0.126,4,10,0,spotify:track:5qBnxyGYfImDHRom5kDI8P,2018,2022,epsilon
三,三,Aether,2021-01-15,212693,31,0.381,0.657,0.537,0.808,0.149,-10.706,0.0361,136.041,0.229,4,6,1,spotify:track:1GsWsNc9gSn8EvOh804lW4,2021,2022,epsilon
EPISODE 1: COLDBLOOD,EPISODE 1: COLDBLOOD,NEOSHIN,2022-08-05,201600,28,0.000564,0.493,0.506,0.125,0.0744,-13.585,0.035,150.076,0.279,4,9,0,spotify:track:14Ap5GjsRBvZz0XtEQMMAX,2022,2022,epsilon
Storm City,Storm City,Cloud Battalion,2018-05-03,247692,37,0.0144,0.386,0.945,0.9,0.52,-5.805,0.0409,156.029,0.0572,4,6,0,spotify:track:41zMB8qTcM2xsqRq54AsdF,2018,2022,epsilon
"Face My Fears - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,79139,25,0.982,0.298,0.00397,0.98,0.163,-34.975,0.0347,59.986,0.0361,4,1,0,spotify:track:2rYVz5yIThuKl79EqTI9W1,2022,2022,epsilon
This Is What You Are,Warframe (Original Video Game Soundtrack),Keith Power,2018-08-31,374217,47,0.336,0.182,0.478,0.483,0.0938,-12.092,0.0382,105.006,0.0392,3,0,1,spotify:track:7ChSbgzmrIa3enKf62fW26,2018,2022,epsilon
Mind Upload,"Kurzgesagt, Vol. 7 (Original Motion Picture Soundtrack)",Epic Mountain,2021-02-12,520921,27,0.0364,0.347,0.569,0.839,0.0948,-11.026,0.0544,95.08,0.264,4,4,0,spotify:track:3cTwxieRn4r5DRgsMw7R4N,2021,2022,epsilon
Mischievous Alchemy,Kingdom Two Crowns (Original Soundtrack),Amos Roddy,2018-12-11,137854,44,0.902,0.684,0.268,0.00863,0.0789,-16.108,0.0351,135.964,0.431,4,8,1,spotify:track:7Eb83iUNC8yBhGRqepiEXV,2018,2022,epsilon
Diggy Diggy Hole,Wintersaga,Wind Rose,2019-09-27,315986,67,0.000206,0.311,0.942,0.238,0.158,-5.175,0.0483,125.006,0.651,4,8,1,spotify:track:0FDY2EHOv32kUoqplU1hdY,2019,2022,epsilon
Dzikaje Palavańnie,Rujnuj,Dzivia,2018-12-13,433912,39,0.496,0.186,0.515,0.847,0.265,-9.859,0.0361,129.983,0.0386,4,11,0,spotify:track:6D3fACLwRc3sfFrhlGrdkj,2018,2022,epsilon
Where My Girls At,Where My Girls At,VENUS,2021-12-31,164526,35,0.0394,0.603,0.792,0.0,0.191,-7.168,0.228,190.04,0.461,4,7,0,spotify:track:3BCjEiinht1jcDdIoaHAhH,2021,2022,epsilon
"What We Had - From ""Surface""",Surface (Music from the Original TV Series),Ólafur Arnalds,2022-07-29,349728,26,0.911,0.0731,0.0728,0.949,0.104,-21.07,0.044,80.162,0.0348,1,6,0,spotify:track:1ehU7pabvS41UWUyBrVYwL,2022,2022,epsilon
Rescue Me,Arcadia,Eurielle,2015-12-05,279706,34,0.335,0.112,0.338,0.00691,0.33,-9.902,0.0335,72.269,0.0728,4,2,0,spotify:track:6BzVw8MDBUN44HV4SFGoeL,2015,2022,epsilon
Destiny,Twilight,Neovaii,2022-06-03,114580,47,0.131,0.505,0.72,0.0092,0.465,-6.19,0.0606,155.013,0.278,4,9,1,spotify:track:1BeOgcUxyLBxZv3UolrlGq,2022,2022,epsilon
The Encounter,The Encounter,ABBOTT,2019-10-11,253629,40,0.901,0.107,0.129,0.695,0.0832,-17.316,0.0393,87.809,0.0347,4,1,0,spotify:track:2rPKxyFcdKJ1dN7WiNBhwo,2019,2022,epsilon
