name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Elévation,Elévation,Vladimir Cauchemar,2019-06-14,155727,51,0.078,0.689,0.929,0.0,0.32,-4.76,0.277,123.011,0.57,4,7,1,spotify:track:2U2N1Jky3VTWJkb5lRam16,2019,2022,gamma
En direct de la lune,L'Apogée,Sexion d'Assaut,2012-11-19,283893,27,0.121,0.871,0.745,0.0,0.221,-6.605,0.321,102.949,0.44,4,6,0,spotify:track:16tEuSuy45oG9xuZaE8UxN,2012,2022,gamma
Calm Down,Calm Down,Rema,2022-02-10,219813,79,0.376,0.811,0.781,0.001,0.121,-6.333,0.0428,107.007,0.824,4,11,1,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,2022,2022,gamma
Assez,L'Apogée,Sexion d'Assaut,2012-11-19,187786,37,0.165,0.952,0.748,0.0,0.0589,-4.293,0.285,109.995,0.864,4,5,0,spotify:track:5uJS0OAVLB7E7peO2N9SrF,2012,2022,gamma
Ma direction,L'Apogée,Sexion d'Assaut,2012-11-19,263533,62,0.0783,0.865,0.763,0.0,0.105,-5.482,0.197,106.977,0.683,4,4,0,spotify:track:6tFJdAZGXGsHTdMKmc1NjR,2012,2022,gamma
Say Something,Is There Anybody Out There?,A Great Big World,2014-01-20,233266,55,0.872,0.447,0.158,1.58e-06,0.0816,-7.571,0.036,140.942,0.142,3,2,1,spotify:track:2fPb58e6f8KxejYDCaARwS,2014,2022,gamma
Comme une évidence,Enfant de la ville,Grand Corps Malade,2008-03-31,229293,42,0.721,0.444,0.437,2.53e-05,0.109,-12.497,0.202,82.922,0.331,4,5,0,spotify:track:48mBntFuxYXmVJpF55MC6f,2008,2022,gamma
Jealous,Jealous - EP,Labrinth,2014-11-23,287693,77,0.874,0.439,0.153,0.0,0.107,-8.95,0.0479,116.76,0.104,3,1,1,spotify:track:4G92yYrUs0cvY7G41YRI0z,2014,2022,gamma
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,82,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,83.995,0.543,4,10,1,spotify:track:1tkg4EHVoqnhR6iFEXb60y,2020,2022,gamma
Putain de salaire,"Freebase, Vol. 04",Kekra,2020-03-27,175760,48,0.186,0.755,0.733,7.89e-06,0.14,-5.01,0.043,122.046,0.386,4,5,0,spotify:track:1oIHWApwC79TRxOmuZHEif,2020,2022,gamma
Sundance,Adios Bahamas,Népal,2020-01-10,170646,64,0.46,0.71,0.641,0.536,0.123,-5.0,0.1,93.04,0.206,4,11,0,spotify:track:3CBjC9bcb5MzAnP4Hu9SVL,2020,2022,gamma
Suga Suga,2016 - 2018,Népal,2019-08-23,224893,61,0.274,0.818,0.386,0.0,0.138,-10.912,0.145,119.987,0.682,4,0,0,spotify:track:1kY2dTf9Tpa8QRHlAJeRYd,2019,2022,gamma
HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,154997,74,0.12,0.81,0.511,0.0,0.0832,-6.924,0.164,151.947,0.837,4,5,0,spotify:track:6zFMeegAMYQo0mt8rXtrli,2020,2022,gamma
Lost Without You,Freya Ridings,Freya Ridings,2019-07-19,225853,71,0.932,0.386,0.136,0.0,0.0653,-9.267,0.0458,67.016,0.0976,3,6,1,spotify:track:3cWI6Hj9LQ0MfMuhw9uSMc,2019,2022,gamma
First Class,Come Home The Kids Miss You,Jack Harlow,2022-05-06,173947,81,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,0.332,4,5,0,spotify:track:0wHFktze2PHC5jDt3B17DC,2022,2022,gamma
everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,86,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243,4,6,0,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,2019,2022,gamma
Éternité,Nuit,Jazzy Bazz,2018-09-07,206920,59,0.579,0.815,0.462,0.0,0.11,-7.772,0.0505,133.005,0.529,4,10,0,spotify:track:3R5atTEAiKBu5t3tZ3D0Uz,2018,2022,gamma
Tu Veux Déjà Me Dire Aurevoir ?,L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,67466,41,0.274,0.646,0.333,3.86e-05,0.13,-19.322,0.461,126.121,0.405,4,1,1,spotify:track:6d7BzQtjmiHAIrZ43b4Hwa,2021,2022,gamma
Ken Kaneki,Les étoiles vagabondes : expansion,Nekfeu,2019-06-21,162960,65,0.552,0.697,0.633,0.0,0.128,-6.983,0.0793,139.074,0.716,4,7,1,spotify:track:08QXSGwwI8Qu4IQEV3AfM6,2019,2022,gamma
Au DD,Deux frères,PNL,2019-04-05,247161,67,0.293,0.777,0.698,2.32e-05,0.0908,-7.706,0.0704,119.963,0.119,4,6,0,spotify:track:5lCxlSBFyP5g4EhVypAoOu,2019,2022,gamma
L'endurance,L'Apogée,Sexion d'Assaut,2012-11-19,292693,37,0.00585,0.658,0.817,0.0,0.0901,-3.693,0.25,191.967,0.515,4,5,0,spotify:track:6R4aYHjVv6KEArS1YNgf93,2012,2022,gamma
La Quête,Civilisation,Orelsan,2021-11-19,244000,66,0.36,0.832,0.54,0.0,0.101,-8.667,0.397,120.105,0.84,4,6,1,spotify:track:0w6lsLBvhtGcqMYA7MB7r6,2021,2022,gamma
Pirelli,MVP,Mister V,2020-01-31,214653,56,0.329,0.836,0.752,0.0,0.174,-5.782,0.0612,103.001,0.655,4,10,0,spotify:track:7FZoYJcmCB22N0lAg52nZG,2020,2022,gamma
