name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
• Black And Misguided,Hotel Paranoia,Jazz Cartier,2016-02-03,285480,25,0.0984,0.537,0.603,0.0,0.134,-8.538,0.265,114.025,0.185,4,6,0,spotify:track:6JDB9o5uUvLZOECEE2PZf2,2016,2021,zeta
An Infinite Regression,Weightless,Animals As Leaders,2011-11-08,205853,44,0.000123,0.404,0.903,0.812,0.138,-6.237,0.108,131.768,0.352,5,2,1,spotify:track:6TusaYvpkgyJhJ8tvXo03P,2011,2021,zeta
Another World,Fortitude,Gojira,2021-04-30,264947,55,0.00121,0.351,0.877,0.783,0.119,-5.044,0.0422,169.999,0.238,4,7,0,spotify:track:7cRGgrQ9eg8V8A4FsSj020,2021,2021,zeta
"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 1. Allemande",Hilary Hahn plays Bach: Violin Sonatas Nos. 1 & 2; Partita No. 1,Johann Sebastian Bach,2018-10-05,441933,27,0.984,0.22,0.0813,0.205,0.145,-21.945,0.0507,92.623,0.298,4,4,0,spotify:track:2BF0UcUOosThifZEVYKCnG,2018,2021,zeta
Only Solutions,More than Just a Name,Infected Mushroom,2020-03-23,320571,39,0.00277,0.387,0.71,0.819,0.0887,-6.654,0.085,139.951,0.232,4,6,0,spotify:track:237UcckRVSojOhj7jOD5nq,2020,2021,zeta
Electric Eye - Zardonic Remix,A Matter of Time,Celldweller,2019-04-18,228657,0,0.0665,0.321,0.931,1.51e-05,0.676,-3.646,0.373,174.796,0.246,4,5,0,spotify:track:2ruvyjCqLQ6qx43tb4jVGj,2019,2021,zeta
Cognitive Contortions,The Madness Of Many,Animals As Leaders,2016-11-11,269213,0,7.96e-05,0.273,0.895,0.831,0.108,-6.286,0.0882,187.954,0.226,3,7,1,spotify:track:4tQN38OOwoBU4yROKfZF59,2016,2021,zeta
Chicken Attack,Song Voyage,The Gregory Brothers,2016-12-14,156176,43,0.739,0.382,0.514,0.0,0.164,-6.768,0.0334,64.205,0.354,4,0,1,spotify:track:0Q2bGwvx3oECbpe3W5yyBv,2016,2021,zeta
Андерграундный рай,Выход,Убийцы Crystal,2020-12-18,253718,9,0.351,0.742,0.757,7.6e-05,0.209,-7.335,0.052,139.97,0.24,4,6,1,spotify:track:4ArMhn5YgQeuZJyl5hnBiE,2020,2021,zeta
My Disintegration - Joe Ford Remix,A Matter of Time,Celldweller,2019-04-18,327426,0,0.00036,0.524,0.934,0.122,0.667,-2.483,0.0863,170.192,0.455,3,10,0,spotify:track:2kpSVfEtyUlIkTB68et2VM,2019,2021,zeta
Manhunter,Manhunter,Ainoma,2019-11-21,328200,7,0.00568,0.466,0.944,0.965,0.107,-4.703,0.0307,111.005,0.169,4,8,1,spotify:track:6SALdAzAdqyrl3KekJXRSy,2019,2021,zeta
Террористы,Выход,Убийцы Crystal,2020-12-18,206896,16,0.0342,0.788,0.692,0.00153,0.257,-8.863,0.0417,116.022,0.381,4,11,1,spotify:track:2MAPYoopd58b5ikosIism0,2020,2021,zeta
Slaughterhouse,The Living Will Envy the Dead,We Are Magonia,2019-12-06,250637,29,0.00028,0.419,0.878,0.974,0.0936,-7.961,0.152,148.08,0.184,4,2,1,spotify:track:030Rh4c89SaLzeEI1KgyCe,2019,2021,zeta
Master of Horror,The Living Will Envy the Dead,We Are Magonia,2019-12-06,249423,24,0.000913,0.515,0.69,0.939,0.103,-8.441,0.0386,128.054,0.0766,4,11,0,spotify:track:3GjPsIkX7LKOjgggWPNUpO,2019,2021,zeta
"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: 2. Fuga. Allegro",Hilary Hahn plays Bach: Violin Sonatas Nos. 1 & 2; Partita No. 1,Johann Sebastian Bach,2018-10-05,325586,34,0.99,0.382,0.151,0.000124,0.122,-16.028,0.0569,115.943,0.713,3,7,0,spotify:track:1Xkup8WkrOfFVPZ4r7Zkhf,2018,2021,zeta
Diabolus in Musica,The Living Will Envy the Dead,We Are Magonia,2019-12-06,245831,26,0.00033,0.489,0.682,0.574,0.252,-8.119,0.0336,103.052,0.0959,4,7,1,spotify:track:7KMMO09aorzfK9TjWugWGY,2019,2021,zeta
Watching You,The Shape,Dance With the Dead,2016-02-06,303050,33,1.79e-05,0.547,0.899,0.947,0.0995,-5.414,0.0448,117.981,0.311,4,8,1,spotify:track:5qaOkY55FpPvRIiJ5g8Ete,2016,2021,zeta
A Matter of Time,A Matter of Time,Celldweller,2019-04-18,362482,0,5.65e-05,0.439,0.97,0.00249,0.11,-4.266,0.058,145.062,0.483,4,1,0,spotify:track:2evoS3lDuKhiTACNU8T3ny,2019,2021,zeta
Roller Mobster,TRILOGY,Carpenter Brut,2015,214351,58,5.37e-06,0.423,0.921,0.903,0.179,-1.67,0.0734,131.011,0.187,4,7,1,spotify:track:7oxnK2wg8qFv8EXyyxKDJ4,2015,2021,zeta
Walking on the Moon,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,336000,40,0.304,0.739,0.688,0.88,0.234,-6.824,0.039,129.992,0.781,4,5,0,spotify:track:7BqVE1nGdJ5iv9KQs6GCC4,2018,2021,zeta
No Line in MIDI,More than Just a Name,Infected Mushroom,2020-03-23,419005,32,0.0018,0.612,0.779,0.779,0.109,-7.251,0.0621,138.006,0.293,4,11,0,spotify:track:09Gc1nlDGb9hZxHjy6lOV4,2020,2021,zeta
Running With Scissors,The Living Will Envy the Dead,We Are Magonia,2019-12-06,245444,25,0.00189,0.545,0.616,0.0769,0.0877,-6.864,0.0305,105.026,0.134,4,2,1,spotify:track:3KnoVrvuNeJXR0JwtIi3cr,2019,2021,zeta
Вестник грядущего добра,Выход,Убийцы Crystal,2020-12-18,134000,22,0.231,0.702,0.833,0.0,0.509,-7.67,0.0384,120.036,0.383,4,2,1,spotify:track:49OsMEDU2yFCG3skTXlYq6,2020,2021,zeta
My Disintegration - Instrumental,A Matter of Time,Celldweller,2019-04-18,380885,0,5.57e-05,0.254,0.846,0.865,0.112,-3.507,0.12,181.072,0.349,4,5,0,spotify:track:643TFMa4RwMWtchmXAUMWY,2019,2021,zeta
Adrift,The Shape,Dance With the Dead,2016-02-06,290526,31,0.175,0.177,0.47,0.297,0.382,-9.306,0.0388,94.966,0.0374,4,6,1,spotify:track:7J0RUtDOBdRS21XJRnOtJi,2016,2021,zeta
There's a Storm Coming,The Shape,Dance With the Dead,2016-02-06,134550,38,0.323,0.27,0.333,0.976,0.102,-10.51,0.0304,97.173,0.0398,4,1,1,spotify:track:6FBGURwlqmAjWOXrwuX5dL,2016,2021,zeta
Private Visions of the World,The Madness Of Many,Animals As Leaders,2016-11-11,296666,0,0.000193,0.366,0.846,0.844,0.159,-6.982,0.0507,113.915,0.668,3,1,0,spotify:track:472vi5RE3rBOQlB3TVAn4O,2016,2021,zeta
Sphinx,Fortitude,Gojira,2021-04-30,240358,50,0.000101,0.472,0.915,0.714,0.133,-4.844,0.0401,97.015,0.337,4,2,1,spotify:track:6PhrbFbRW3Cchrv6klsLF5,2021,2021,zeta
Synthwave Is Dead,The Living Will Envy the Dead,We Are Magonia,2019-12-06,255833,27,0.00664,0.583,0.934,0.921,0.327,-9.099,0.0738,103.022,0.122,4,1,1,spotify:track:0cfTmOAORo6FhOkHW2sG86,2019,2021,zeta
Becoming Insane,Vicious Delicious,Infected Mushroom,2007-04-01,440266,34,0.00368,0.654,0.82,0.364,0.195,-5.769,0.0648,145.002,0.616,4,2,1,spotify:track:4zh13oEiKl6W8qn9zsdQrp,2007,2021,zeta
Eyes of Madness,The Shape,Dance With the Dead,2016-02-06,278230,40,1.1e-05,0.567,0.808,0.661,0.148,-5.343,0.0546,113.006,0.0349,4,2,1,spotify:track:1qpfndAEGm7YIL6HFuuRCM,2016,2021,zeta
The Chant,Fortitude,Gojira,2021-04-30,312751,52,1.74e-05,0.494,0.874,0.0621,0.0873,-3.831,0.031,124.064,0.485,4,8,1,spotify:track:41DA32rbYp3PoLCAJeup0J,2021,2021,zeta
Ani Mevushal,More than Just a Name,Infected Mushroom,2020-03-23,531310,41,0.00455,0.573,0.783,0.751,0.0783,-5.649,0.0602,144.982,0.177,4,11,0,spotify:track:0fi3GSDCqPMEkdDbgFOXVc,2020,2021,zeta
Splicon,More than Just a Name,Infected Mushroom,2020-03-23,383487,29,0.00974,0.361,0.741,0.837,0.1,-5.02,0.047,103.504,0.136,3,1,1,spotify:track:7yVsd93FrIb6SY1LLSicp1,2020,2021,zeta
Crucified,The Living Will Envy the Dead,We Are Magonia,2019-12-06,232567,23,0.00208,0.571,0.813,0.92,0.382,-8.126,0.114,120.038,0.234,4,2,1,spotify:track:3b7Eu0IgikowZm75FmOQ75,2019,2021,zeta
Mercenary,Mercenary,F.O.O.L,2020-10-19,219818,54,0.0243,0.683,0.779,0.839,0.119,-6.324,0.0546,103.004,0.136,4,9,1,spotify:track:6I7FFkcXS58luQoYLzPHi3,2020,2021,zeta
The Curse (The Toxic Avenger Remix),Legend- EP (Deluxe Edition),Magic Sword,2019-06-07,550200,0,0.0278,0.526,0.676,0.000314,0.245,-6.05,0.0336,99.987,0.0464,4,8,1,spotify:track:2W1cR62CD7HUHCMzss9rPZ,2019,2021,zeta
Fortitude,Fortitude,Gojira,2021-04-30,127578,45,0.109,0.862,0.266,0.941,0.112,-10.534,0.0369,129.925,0.507,4,8,1,spotify:track:7kZkDEYLQ7eBgiPlzhBtGI,2021,2021,zeta
"Freak (The Otherside Series, Vol.2)","Freak (The Otherside Series, Vol.2)",Le Castle Vania,2019-03-08,171743,52,0.000464,0.687,0.974,0.373,0.0945,-2.343,0.0344,108.974,0.325,4,11,1,spotify:track:5pL19PkLA1LFMaHvrYlBYU,2019,2021,zeta
Ленина,Выход,Убийцы Crystal,2020-12-18,149721,20,0.000472,0.789,0.666,0.273,0.0819,-7.327,0.038,130.006,0.356,4,0,0,spotify:track:6yHHGSzp5XMPKJsFuis8iI,2020,2021,zeta
Amazonia,Fortitude,Gojira,2021-04-30,300783,59,0.00038,0.382,0.954,0.776,0.244,-4.831,0.0417,181.933,0.513,4,9,1,spotify:track:1GWtUkDQk7XC35r7kTPfqx,2021,2021,zeta
Born For One Thing,Fortitude,Gojira,2021-04-30,260741,53,3.67e-05,0.215,0.971,0.624,0.308,-4.897,0.0761,145.913,0.376,4,9,1,spotify:track:61GkJ0y15jxDyBrdcb6PqR,2021,2021,zeta
Spitfire,Spitfire,Infected Mushroom,2017-11-24,434782,45,0.00729,0.701,0.715,0.825,0.0956,-4.812,0.0412,137.998,0.311,4,2,1,spotify:track:2Nv0zFXjH4tYS7O1OGpvt7,2017,2021,zeta
Bliss on Mushrooms,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,570978,47,0.0169,0.562,0.732,0.788,0.118,-5.896,0.0489,140.005,0.074,4,6,0,spotify:track:6rCcJf8p7z9QDlfzmBVSVl,2018,2021,zeta
Guitarmass,Head of NASA and the 2 Amish Boys,Infected Mushroom,2018-12-12,398896,50,0.00469,0.504,0.606,0.848,0.17,-7.078,0.086,144.979,0.111,4,4,0,spotify:track:6VHBZt8T7ZdlUt3MkOZqPy,2018,2021,zeta
Into The Storm,Fortitude,Gojira,2021-04-30,302293,48,0.00141,0.245,0.972,0.68,0.131,-6.387,0.0739,105.939,0.107,4,2,1,spotify:track:6TCxtJhcwImUhRzdPXRURA,2021,2021,zeta
Tempting Time,Animals as Leaders - Encore Edition,Animals As Leaders,2015-07-10,323935,29,2.42e-05,0.248,0.931,0.84,0.168,-5.143,0.0642,110.047,0.124,3,1,0,spotify:track:5WvMZ7AC5DOp0fVY5mwpMi,2015,2021,zeta
Lamento,The Living Will Envy the Dead,We Are Magonia,2019-12-06,217566,27,0.00033,0.392,0.567,0.701,0.047,-8.035,0.0413,123.978,0.177,4,7,0,spotify:track:5zkBqFVEKHP5IRFBfiBjqp,2019,2021,zeta
Electric Eye (Zardonic Remix) - Instrumental,A Matter of Time,Celldweller,2019-04-18,228657,0,0.0239,0.371,0.875,0.0257,0.144,-4.42,0.0976,175.045,0.148,4,5,0,spotify:track:7vvYWIUKwS73LAkYiZQcxQ,2019,2021,zeta
